Word,Sum,Number,Weight
аборт,-2.0,2.0,-1.0
абортивный,-1,1,-1.0
абракадабра,-1,1,-1.0
абсурд,-2.0,2.0,-1.0
абсурдность,-1,1,-1.0
абсурдный,-2.0,2.0,-1.0
авантюра,-1.333333333333333,2.0,-0.6666666666666665
авантюризм,-1,1,-1.0
авантюрист,-1,1,-1.0
авантюристический,-1,1,-1.0
авантюристка,-1,1,-1.0
авантюристский,-1,1,-1.0
авантюрный,-1.333333333333333,2.0,-0.6666666666666665
аварийная защита,0,1,0.0
аварийность,-1,1,-1.0
аварийный,-2.0,2.0,-1.0
авария,-2.25,2.0,-1.125
авиакатастрофа,-1,1,-1.0
авиакрушение,-1,1,-1.0
авианалет,-1,1,-1.0
авиаудар,-1,1,-1.0
авиационный налет,-1,1,-1.0
авитаминоз,-1,1,-1.0
авитаминозный,-1,1,-1.0
аврал,-1,1,-1.0
авральный,-1,1,-1.0
автовор,-1,1,-1.0
автоматная очередь,-1,1,-1.0
автоматный огонь,-1,1,-1.0
автомобильная пробка,-1,1,-1.0
автоподстава,-1,1,-1.0
авторитаризм,-1,1,-1.0
авторитарность,-1,1,-1.0
авторитарный,-1,1,-1.0
авторитет падает,-1,1,-1.0
авторитет снижается,-1,1,-1.0
авторитет снизился,-1,1,-1.0
авторитет упал,-1,1,-1.0
авторитет,1.333333333333333,2.0,0.6666666666666665
авторитетность,1,1,1.0
авторитетный,1.666666666666667,2.0,0.8333333333333335
авторитетом не пользоваться,-1,1,-1.0
автотрасса перекрыта,-1,1,-1.0
автоугон,-1,1,-1.0
автоугонщик,-1,1,-1.0
агент иностранной разведки,-1,1,-1.0
агитка,-1.833333333333333,2.0,-0.9166666666666665
агонизировать,-1,1,-1.0
агония,-2.33333333333333,2.0,-1.166666666666665
агрессивность,-3.0,3.0,-1.0
агрессивный,-3.0,3.0,-1.0
агрессия,-3.33333333333333,3.0,-1.11111111111111
агрессор,-1,1,-1.0
агрессорский,-1,1,-1.0
ад,-1,1,-1.0
адаптационный,1,1,1.0
адаптация,1,1,1.0
адаптивность,1,1,1.0
адаптивный,1,1,1.0
адаптироваться,1,1,1.0
адекватность,1,1,1.0
адекватный,2.0,2.0,1.0
административная ответственность,0,1,0.0
административное воздействие,-1,1,-1.0
административное давление,-1,1,-1.0
административные меры,-1,1,-1.0
административный барьер,-1,1,-1.0
адов,-1,1,-1.0
адовый,-1,1,-1.0
адский,-1,1,-1.0
ажиотаж,-1,1,-1.0
ажиотажный,-1.0,2.0,-0.5
