Name_audio;Transcription;label
10dec_D11_1_p1;Давай ты успокоишься для начала. Ты можешь не вестись на эту ерунду - это специально провоцирует людей. Ты можешь успокоиться просто! А как люди с которыми мы договорились!? Подожди, подожди, стоп, стоп мы заказли билеты месяц назад, подожди пожалуйста! Ты можешь себя взять в руки!? Ты можешь взять себя в руки?! ;гнев
10dec_D11_1_p2;Подожди, подожди, успокойся пожалуйста. Подожди, подожди, успокойся. И что, что умерло 400 человек? Мы эту поездку запланировали ещё месяц назад, ты понимаешь? Ты понимаешь, как мне достались эти билеты!? Да какой папа?.. Да стоп... Да подожди. Мы же забронировали уже отель, ты понимаешь, что это уже невозможно вернуть билеты? Стоп, да мы ждали эту поездку год практически! Да что ты обращаешь внимание на этих людей! Да хватит обращать внимание на новости! Да что ты за ерунду несёшь!? Ты мужик или как вообще!? Да возьми ты себя в руки! Да что ты чувству!.. Да успокойся, выпей воды!;гнев
10dec_D11_2_p1;Кристин, привет. Ты слышала там самолёт упал в Зеландии? Нам завтра улетать, ты понимаешь это вообще? Я...Я...Я боюсь, я не знаю, что делать, я не могу. Давай отменим поезку, давай сдадим билеты. Я... Ну... Слушай, как я могу успокоиться, подожди. Слушай, какая ерунда, как какая провокация? Ты с ума сошла? Просто самолёт взял и разбился. Ты понимаешь 400 человек, там никто не выжил! Ты понимаешь!? Я не смогу!.. Давай отменим поездку, я не могу! Давай по другому как-нибудь! Давай!.. Давай на корабле. Слушай, я не могу туда. Всё, я не полечу, я сказал, ты понимаешь!? Ты понимаешь, что мне страшно!? ;страх
10dec_D11_2_p2;Кристин, привет .. слушай .. Я боюсь лететь, там разбился самолёт, я сейчас смотрел. А.. я... Всё, давай отменим, я не могу, слушай. Там 400 человек умерло, ты понимаешь, 400 человек? Слушай, я не могу... Слушай я. Ты понимаешь, у меня папа сейчас болеет? Кто с ним будет сидеть, понимаешь? Мне страшно, я..я не могу лететь. Слушай, давай отменим, давай перенесём я..я... Я не могу лететь. Ты понимаешь я не могу просто всё. Я не могу выйти из дома, мне страшно. Мне страшно, я разобьюсь. Я чувствую, что я разобьюсь на этом самолёте, понимаешь? Я чувствую это, это не просто так. Это - знак. Я, я не могу, я не полечу никуда. ;страх
10dec_D31_1;Почему? Подожди... Ну подожди, ну как же, но мы же так давно планировали это? Но может быть кто-то из родственников может?;грусть
10dec_D31_2;Крис я не смогу поехать в Новую Зеландию. У меня заболел папа и мне нужно с ним будет сидеть. Ну ты понимаешь, он начинает конючить. Я предлагал ему, что бы сиделка была, он отказывается от всего. Ну вообщем, я не знаю, что делать. Я понимаю, что планировали. Ну а чего тут сделаешь?;грусть
10dec_D41_1;Ну... Ну я забыла. Ну-ну. Ну у меня экзамены были?.. Ну ты понимаешь, что? Ну ты мог мне напомнить? Ну я забыла, ну.;грусть
10dec_D41_2;Я тебя просто попросил купить билеты, понимаешь, на самолёт!? Я всё сделал: забронировал гостиницу, я договорился со всеми организациями. Просто купить билеты - это что сложно!? Что значит забыла!? Какой экзамен, ты вообще сумашедшая или что!? Какой экзамен к чёрту!? Мы сколько готовились к этой поездке! Просто купить билеты! Я напомнить тебе должен!? Всё организовать и напомнить!? Может тебе ещё...;гнев
10dec_D42_1;Ну прости пожалуйста, но я забыла. Ну у меня столько дел накопилось. Ну ты. Ну ты можешь не кричать на меня? Ну.. ;грусть
10dec_D42_2;Слушай, я просто попросил тебя купить билеты на самолет. Это что сложно? А, прости, да, и все. Конечно, ну столько дел, ну естественно, конечно. Че просто взять билеты, понимаешь? Билеты взять. Я все сделал. А, извините, пожалуйста, нельзя кричать на тебя, да? А что я тебя похвалить сейчас должен, да? Ну, и все да?;гнев
10dec_D43_1;Ну ты можешь не кричать на меня хотя бы? Ну я забыла, у меня было много дел. Ну просто на меня навалилось, да. Ну извини меня...;грусть
10dec_D43_2;Кристина, почему нельзя было купить билеты!? Я сделал всё! Я организовал, я договорился со всеми компаниями. Да могу конечно, конечно. Ах ты забыла, ну да, нормальная история да вот. Мы 5 лет с тобой дружим, и 5 лет ты забываешь. Ах навалилось, да . Погода не та, да!? Сатурн, тригон Сатурна там в Нептуне, да? Ну как ты вообще, чем ты соображешь? Как, как это возможно?;гнев
10dec_D51_1;Это фу ну. Ну фу . Ну тебе самому непротивно?;отвращение
10dec_D51_2;Мы в тот раз, когда ездили в Китай, там Женька заказал, знаешь этих . Личинки, живые такие. И у них знаешь морды такие красные были. Они вот такие склизкие были. И он так их брал, понимаешь, мне сразу блевать тянуло, понимаешь? И вот там жуки, они вот такие. У них мерзкие лапки такие, знаешь? И они фу . А там. А там знаешь ещё этот  . Там какя-то слизь была такая, как сопли, знаешь? Вот так вот поднимаешь. И он это ел всё. А ему нравилось.;отвращение
10dec_D52_1;Фу! Да фу, ну он же склизский! ;отвращение
10dec_D52_2;Слушай, я там смотрел видео чо они там хавают. Там эти, ... Личинки какие-то, знаешь? И у них мордочка такая красная. И у них лапки какие-то мерзкие такие. Слушай, а когда он его съедал, это, потом жука у него вот так вот вытекал гной какой-то из него. Слизь там какая-то. И ... эти ... Как сопли слушай, ну такие. Это можно просто ;отвращение
