"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group B","high school","standard","none","67","91","84"
"female","group D","some college","standard","none","63","63","67"
"female","group A","associate's degree","standard","completed","73","83","85"
"female","group C","associate's degree","standard","none","85","98","95"
"male","group B","bachelor's degree","standard","none","75","57","63"
"female","group E","some college","standard","none","85","78","74"
"male","group A","some high school","free/reduced","completed","40","34","30"
"female","group E","some high school","standard","completed","57","65","68"
"male","group D","some high school","standard","none","81","85","81"
"male","group E","some college","free/reduced","completed","95","92","92"
"male","group B","some college","standard","none","73","58","61"
"female","group D","bachelor's degree","free/reduced","none","45","62","55"
"male","group D","associate's degree","free/reduced","completed","94","87","90"
"female","group E","high school","free/reduced","completed","72","77","75"
"female","group D","some college","standard","none","52","54","54"
"male","group E","bachelor's degree","free/reduced","completed","98","92","96"
"male","group D","high school","standard","none","66","56","53"
"female","group B","some college","standard","completed","46","53","56"
"male","group C","associate's degree","standard","none","77","73","68"
"male","group E","high school","standard","none","79","64","60"
"male","group E","associate's degree","free/reduced","none","66","58","60"
"female","group D","high school","standard","none","82","88","81"
"female","group C","high school","standard","none","53","56","56"
"female","group C","associate's degree","free/reduced","none","74","82","83"
"female","group C","bachelor's degree","free/reduced","completed","83","97","97"
"female","group C","some high school","free/reduced","completed","35","49","48"
"male","group E","some college","free/reduced","none","49","55","49"
"female","group D","some college","standard","completed","50","56","63"
"female","group C","associate's degree","standard","none","45","54","56"
"male","group B","associate's degree","standard","completed","81","74","72"
"male","group B","associate's degree","free/reduced","none","27","37","30"
"female","group A","some high school","standard","none","46","57","50"
"female","group C","associate's degree","standard","none","65","68","74"
"male","group B","associate's degree","standard","completed","63","66","58"
"female","group C","some college","standard","completed","70","87","88"
"female","group D","some college","free/reduced","none","72","91","89"
"female","group D","associate's degree","standard","none","57","68","71"
"male","group E","high school","standard","none","93","85","77"
"male","group C","associate's degree","standard","completed","84","73","77"
"female","group D","high school","standard","none","72","86","82"
"male","group D","some college","standard","none","67","59","59"
"male","group D","master's degree","standard","none","62","57","52"
"female","group D","associate's degree","standard","none","60","59","71"
"male","group D","high school","free/reduced","completed","67","75","75"
"male","group C","some college","free/reduced","none","60","57","50"
"female","group C","some college","standard","completed","86","100","100"
"male","group C","associate's degree","standard","completed","66","68","69"
"female","group E","some college","free/reduced","none","68","65","66"
"male","group E","associate's degree","standard","none","94","90","89"
"female","group E","high school","free/reduced","completed","63","69","68"
"female","group C","associate's degree","standard","completed","76","78","82"
"male","group E","high school","standard","completed","81","63","62"
"male","group C","high school","standard","none","72","64","61"
"male","group D","associate's degree","standard","none","62","65","60"
"male","group B","associate's degree","free/reduced","none","45","40","43"
"male","group D","some high school","free/reduced","none","44","48","42"
"female","group D","high school","standard","none","50","50","59"
"male","group D","high school","free/reduced","none","73","65","63"
"male","group C","high school","free/reduced","completed","84","79","81"
"female","group E","high school","free/reduced","none","60","80","69"
"female","group E","associate's degree","free/reduced","completed","95","96","100"
"male","group B","high school","standard","completed","71","73","69"
"female","group C","high school","standard","none","56","72","68"
"female","group A","some college","free/reduced","none","61","62","68"
"male","group E","associate's degree","standard","none","100","95","94"
"male","group E","associate's degree","standard","completed","100","92","94"
"male","group D","high school","free/reduced","none","60","64","63"
"male","group D","master's degree","standard","completed","67","67","65"
"male","group C","associate's degree","standard","completed","80","76","76"
"female","group B","high school","standard","completed","77","87","91"
"male","group C","some college","standard","none","70","65","64"
"female","group C","some college","standard","completed","50","64","72"
"female","group D","bachelor's degree","standard","none","82","90","87"
"male","group C","some college","free/reduced","completed","60","65","68"
"female","group C","high school","standard","completed","67","70","78"
"female","group C","high school","free/reduced","completed","73","87","86"
"male","group E","high school","standard","none","86","73","69"
"female","group C","some college","standard","none","41","48","46"
"female","group B","associate's degree","free/reduced","none","48","77","73"
"female","group B","high school","free/reduced","none","39","49","49"
"female","group D","some high school","free/reduced","completed","34","60","62"
"female","group C","some college","standard","none","54","60","55"
"male","group C","master's degree","standard","none","99","95","93"
"female","group D","some high school","standard","completed","52","69","67"
"female","group D","some college","free/reduced","none","80","89","90"
"female","group E","associate's degree","free/reduced","none","66","88","81"
"female","group E","high school","standard","none","75","73","78"
"female","group D","associate's degree","free/reduced","none","56","65","74"
"male","group D","master's degree","standard","none","100","97","93"
"male","group C","some high school","standard","none","80","70","70"
"male","group C","some high school","standard","completed","48","49","43"
"male","group E","master's degree","free/reduced","none","59","51","50"
"male","group C","some college","free/reduced","none","47","50","48"
"male","group C","some high school","standard","none","69","67","64"
"female","group E","associate's degree","standard","none","55","59","56"
"female","group D","high school","standard","completed","71","75","81"
"female","group D","master's degree","free/reduced","none","44","55","55"
"male","group D","some high school","standard","none","95","74","81"
"female","group B","associate's degree","standard","completed","68","80","83"
"female","group C","some high school","standard","none","52","65","57"
"male","group B","some high school","standard","completed","83","88","86"
"female","group C","high school","free/reduced","completed","64","78","78"
"female","group B","high school","free/reduced","none","73","81","79"
"female","group E","bachelor's degree","free/reduced","none","47","57","55"
"female","group A","some college","standard","none","49","57","52"
"female","group C","bachelor's degree","standard","completed","93","100","100"
"male","group C","associate's degree","standard","none","58","61","51"
"male","group E","some college","standard","completed","86","88","90"
"male","group D","high school","standard","completed","68","65","69"
"male","group C","associate's degree","standard","none","76","72","69"
"female","group D","some high school","free/reduced","none","37","49","51"
"female","group D","some college","standard","completed","69","79","82"
"male","group D","associate's degree","standard","none","65","50","48"
"female","group A","some high school","free/reduced","completed","35","52","49"
"female","group C","high school","standard","completed","61","62","67"
"male","group D","some college","free/reduced","completed","47","52","54"
"male","group E","associate's degree","free/reduced","none","65","59","61"
"male","group E","high school","free/reduced","none","57","45","44"
"female","group D","some college","standard","none","55","64","61"
"male","group D","some high school","free/reduced","none","67","60","64"
"male","group C","high school","standard","completed","66","63","67"
"female","group C","bachelor's degree","standard","none","66","69","63"
"male","group B","some college","free/reduced","completed","55","61","55"
"female","group D","master's degree","standard","none","89","97","100"
"male","group C","high school","standard","completed","53","62","56"
"female","group C","some high school","standard","none","49","53","47"
"male","group D","high school","standard","completed","66","68","70"
"female","group A","some college","standard","none","67","78","71"
"male","group A","some college","standard","none","67","66","62"
"male","group D","associate's degree","standard","completed","70","68","75"
"female","group C","high school","free/reduced","completed","49","55","51"
"male","group D","high school","standard","completed","100","91","96"
"male","group D","some college","free/reduced","none","74","72","72"
"male","group C","some high school","standard","none","81","87","79"
"male","group C","some high school","free/reduced","completed","62","58","57"
"male","group B","some college","free/reduced","completed","67","67","66"
"female","group D","some college","free/reduced","none","60","68","65"
"female","group B","associate's degree","standard","completed","54","65","59"
"male","group B","high school","free/reduced","none","51","45","42"
"male","group A","high school","free/reduced","none","46","48","43"
"male","group B","some college","free/reduced","none","71","84","72"
"male","group D","high school","free/reduced","none","48","50","45"
"male","group B","some college","standard","none","74","73","69"
"male","group D","high school","standard","none","76","75","68"
"female","group D","bachelor's degree","free/reduced","completed","70","70","83"
"male","group D","associate's degree","free/reduced","none","71","72","72"
"female","group B","high school","standard","completed","61","72","76"
"male","group E","associate's degree","standard","none","89","86","77"
"female","group C","high school","free/reduced","none","43","53","49"
"male","group E","master's degree","standard","completed","67","60","60"
"male","group E","some high school","standard","none","58","67","56"
"male","group B","some college","free/reduced","completed","64","60","61"
"female","group C","high school","standard","none","71","76","79"
"male","group C","some college","free/reduced","completed","42","54","50"
"male","group B","associate's degree","standard","completed","92","91","92"
"male","group B","associate's degree","standard","none","72","72","65"
"female","group C","bachelor's degree","free/reduced","completed","47","60","54"
"female","group E","some college","free/reduced","none","63","59","59"
"male","group B","associate's degree","free/reduced","none","35","37","41"
"male","group C","some college","standard","none","79","66","65"
